,person_id,t_grade,fl_grade_0,fl_grade_208,fl_grade_219,fl_grade_232,fl_grade_250,fl_grade_261,fl_grade_271,fl_grade_285,fl_grade_298,predictResult_1,predictResult_ex0_1,predictResult_2,predictResult_ex0_2,predictResult_3,predictResult_ex0_3,predictResult_4,predictResult_ex0_4,predictResult_5,predictResult_ex0_5,predictResult_6,predictResult_ex0_6,predictResult_7,predictResult_ex0_7,predictResult_8,predictResult_ex0_8,predictResult_9,predictResult_ex0_9,predictResult_10,predictResult_ex0_10
49,0W07001F141225,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
50,0W07001F14123,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
51,0W07001F14124,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
52,0W07001F14125,C_0,0,0,0,0,0,0,1,0,0,C_0,C_219,C_285,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_219
53,0M07001F1413,C_271,0,0,0,0,0,0,0,0,1,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_261
54,0M07001F14131,C_271,0,0,0,0,0,0,1,0,0,C_0,C_219,C_285,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_219
55,0M07001F141311,C_285,0,0,0,0,0,1,0,0,0,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_219
56,0W07001F141312,C_0,0,0,0,0,0,1,0,0,0,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_219
57,0M07001F14132,C_271,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
58,0M07001F141321,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
59,0M07001F14133,C_285,0,0,1,0,0,0,0,0,0,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_219
60,0M07001F141331,C_261,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_271
61,0M07001F14134,C_271,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
62,0W07001F14135,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
63,0M07001F1414,C_271,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
64,0M07001F14141,C_271,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_271
65,0M07001F141411,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
66,0W07001F141412,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
67,0M07001F1415,C_271,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
68,0M07001F14151,C_271,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
69,0M07001F14152,C_271,0,0,0,0,0,0,1,0,0,C_0,C_219,C_285,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_219
70,0W07001F141521,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
71,0W07001F141522,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
72,0W07001F14153,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
73,0W07001F14154,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
74,0W07001F14155,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
75,0W07001F14156,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
76,0M07001F14157,C_232,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
77,0M07001F141571,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
