,person_id,t_grade,f_grade_0,f_grade_208,f_grade_219,f_grade_232,f_grade_250,f_grade_261,f_grade_271,f_grade_285,f_grade_298,f_grade_300,gf_grade_0,gf_grade_208,gf_grade_232,gf_grade_261,gf_grade_271,gf_grade_285,gf_grade_298,gf_grade_300,predictResult_1,predictResult_ex0_1,predictResult_2,predictResult_ex0_2,predictResult_3,predictResult_ex0_3,predictResult_4,predictResult_ex0_4,predictResult_5,predictResult_ex0_5,predictResult_6,predictResult_ex0_6,predictResult_7,predictResult_ex0_7,predictResult_8,predictResult_ex0_8,predictResult_9,predictResult_ex0_9,predictResult_10,predictResult_ex0_10
52,0W07001F14125,C_0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_285,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_271,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285
53,0M07001F1413,C_271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,C_0,C_271,C_0,C_271,C_0,C_285,C_0,C_285,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_271,C_0,C_285,C_0,C_285
54,0M07001F14131,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
55,0M07001F141311,C_285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
56,0W07001F141312,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
57,0M07001F14132,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
58,0M07001F141321,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
59,0M07001F14133,C_285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
60,0M07001F141331,C_261,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285
61,0M07001F14134,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
62,0W07001F14135,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
63,0M07001F1414,C_271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,C_0,C_271,C_0,C_271,C_0,C_285,C_0,C_285,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_271,C_0,C_285,C_0,C_285
64,0M07001F14141,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
65,0M07001F141411,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
66,0W07001F141412,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
67,0M07001F1415,C_271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,C_0,C_271,C_0,C_271,C_0,C_285,C_0,C_285,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_271,C_0,C_285,C_0,C_285
68,0M07001F14151,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
69,0M07001F14152,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
70,0W07001F141521,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
71,0W07001F141522,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
72,0W07001F14153,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
73,0W07001F14154,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
74,0W07001F14155,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
75,0W07001F14156,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
76,0M07001F14157,C_232,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
77,0M07001F141571,C_0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_219
78,0M07001F1416,C_271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,C_0,C_271,C_0,C_271,C_0,C_285,C_0,C_285,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_271,C_0,C_285,C_0,C_285
79,0M07001F14161,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
80,0M07001F141611,C_261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
81,0M07001F141612,C_261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
82,0W07001F141613,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
83,0W07001F141614,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
84,0M07001F14162,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
85,0M07001F14163,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
86,0M07001F141631,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
87,0W07001F141632,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_285
88,0W07001F14164,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
